,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
0,Frenkie de Jong,nl NED,"MF,DF",23.0,37,35,3154.0,35.0,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,4.8,4.8,5.8,10.6,95.0,238.0,129.0,0.09,0.11,0.2,0.09,0.2,0.14,0.17,0.3,0.14,0.3,Matches
1,Jordi Alba,es ESP,"DF,FW",31.0,35,34,3025.0,33.6,3.0,5.0,8.0,3.0,0.0,0.0,9.0,0.0,1.9,1.9,7.6,9.5,48.0,197.0,354.0,0.09,0.15,0.24,0.09,0.24,0.06,0.22,0.28,0.06,0.28,Matches
2,Lionel Messi,ar ARG,"FW,MF",33.0,35,33,3023.0,33.6,30.0,9.0,39.0,27.0,3.0,5.0,4.0,0.0,22.1,17.8,9.5,27.2,215.0,335.0,263.0,0.89,0.27,1.16,0.8,1.07,0.66,0.28,0.94,0.53,0.81,Matches
3,Antoine Griezmann,fr FRA,"FW,MF",29.0,36,32,2604.0,28.9,13.0,7.0,20.0,12.0,1.0,2.0,4.0,0.0,12.1,10.5,5.6,16.1,41.0,104.0,224.0,0.45,0.24,0.69,0.41,0.66,0.42,0.19,0.61,0.36,0.56,Matches
4,Sergio Busquets,es ESP,MF,32.0,36,32,2517.0,28.0,0.0,5.0,5.0,0.0,0.0,0.0,9.0,0.0,0.3,0.3,3.2,3.4,25.0,254.0,29.0,0.0,0.18,0.18,0.0,0.18,0.01,0.11,0.12,0.01,0.12,Matches
5,Marc-André ter Stegen,de GER,GK,28.0,31,31,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
6,Clément Lenglet,fr FRA,DF,25.0,33,29,2475.0,27.5,1.0,0.0,1.0,1.0,0.0,0.0,11.0,2.0,1.8,1.8,0.8,2.7,33.0,181.0,9.0,0.04,0.0,0.04,0.04,0.04,0.07,0.03,0.1,0.07,0.1,Matches
7,Pedri,es ESP,MF,17.0,37,28,2415.0,26.8,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,4.6,4.4,3.5,7.9,65.0,152.0,128.0,0.11,0.11,0.22,0.11,0.22,0.17,0.13,0.3,0.16,0.3,Matches
8,Sergiño Dest,us USA,"DF,FW",19.0,30,23,1909.0,21.2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.7,1.7,2.1,3.8,74.0,76.0,218.0,0.09,0.05,0.14,0.09,0.14,0.08,0.1,0.18,0.08,0.18,Matches
9,Óscar Mingueza,es ESP,DF,21.0,27,23,1901.0,21.1,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.9,1.9,23.0,99.0,33.0,0.09,0.09,0.19,0.09,0.19,0.05,0.04,0.09,0.05,0.09,Matches
10,Ousmane Dembélé,fr FRA,FW,23.0,30,19,1774.0,19.7,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,5.6,5.6,4.2,9.8,140.0,87.0,288.0,0.3,0.15,0.46,0.3,0.46,0.28,0.21,0.5,0.28,0.5,Matches
11,Gerard Piqué,es ESP,DF,33.0,18,18,1481.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.4,1.2,9.0,67.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches
12,Ronald Araújo,uy URU,DF,21.0,24,16,1510.0,16.8,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.8,1.8,0.2,2.0,9.0,43.0,2.0,0.12,0.06,0.18,0.12,0.18,0.11,0.01,0.12,0.11,0.12,Matches
13,Martin Braithwaite,dk DEN,FW,29.0,29,11,1175.0,13.1,2.0,2.0,4.0,2.0,0.0,1.0,3.0,0.0,5.4,4.6,2.3,6.9,20.0,15.0,91.0,0.15,0.15,0.31,0.15,0.31,0.41,0.18,0.59,0.35,0.53,Matches
14,Sergi Roberto,es ESP,"DF,FW",28.0,15,9,946.0,10.5,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,1.8,2.1,23.0,51.0,91.0,0.1,0.19,0.29,0.1,0.29,0.03,0.17,0.2,0.03,0.2,Matches
15,Philippe Coutinho,br BRA,"MF,FW",28.0,12,8,654.0,7.3,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.7,4.7,38.0,58.0,61.0,0.28,0.28,0.55,0.28,0.55,0.55,0.1,0.65,0.55,0.65,Matches
16,Neto,br BRA,GK,31.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
17,Samuel Umtiti,fr FRA,DF,26.0,13,6,645.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,Matches
