Index,Player,Nation,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Team,Season,Matches Played (MP)
13,Jonathan Viera,es ESP,MF,33,12,12,912,10.1,0,3,3,0,0,0,3,1,1.3,1.3,2.7,3.9,35,68,29,0,0.3,0.3,0,0.3,0.13,0.26,0.39,0.13,0.39,Almeria,2023-2024,
14,ýýlex Centelles,es ESP,DF,25,14,11,980,10.9,0,1,1,0,0,0,2,0,0,0,1.6,1.6,16,31,53,0,0.09,0.09,0,0.09,0,0.14,0.15,0,0.15,Almeria,2023-2024,
15,Gonzalo Melero,es ESP,"MF,FW",29,28,10,1103,12.3,1,1,2,1,0,0,3,0,2,2,1.2,3.2,23,49,33,0.08,0.08,0.16,0.08,0.16,0.16,0.1,0.26,0.16,0.26,Almeria,2023-2024,
16,Luis Javier Suï¿½ï¿,co COL,FW,25,15,10,917,10.2,6,0,6,5,1,1,3,0,6.5,5.7,0.6,6.3,30,15,53,0.59,0,0.59,0.49,0.49,0.64,0.06,0.7,0.56,0.62,Almeria,2023-2024,
17,Anthony Lozano,hn HON,FW,30,13,10,772,8.6,3,0,3,3,0,0,1,0,3.3,3.3,0.7,4,12,16,24,0.35,0,0.35,0.35,0.35,0.38,0.08,0.46,0.38,0.46,Almeria,2023-2024,
18,Alejandro Pozo Pozo,es ESP,"DF,MF",24,21,9,976,10.8,0,0,0,0,0,0,3,0,0.4,0.4,0.6,1,22,44,62,0,0,0,0,0,0.04,0.06,0.1,0.04,0.1,Almeria,2023-2024,
19,Bruno Langa,mz MOZ,DF,25,11,9,820,9.1,1,0,1,1,0,0,1,1,0.2,0.2,0.4,0.5,14,25,30,0.11,0,0.11,0.11,0.11,0.02,0.04,0.06,0.02,0.06,Almeria,2023-2024,
20,Aleksandar Radovanoviï¿,rs SRB,DF,29,9,8,569,6.3,0,0,0,0,0,0,2,0,0,0,0,0.1,0,5,1,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Almeria,2023-2024,
21,Kaiky,br BRA,DF,19,8,5,523,5.8,1,0,1,1,0,0,2,0,0.2,0.2,0,0.3,4,24,1,0.17,0,0.17,0.17,0.17,0.04,0,0.04,0.04,0.04,Almeria,2023-2024,
22,Luka Romero,ar ARG,FW,18,13,5,438,4.9,3,0,3,3,0,0,2,0,1.3,1.3,0.1,1.4,11,14,20,0.62,0,0.62,0.62,0.62,0.26,0.02,0.28,0.26,0.28,Almeria,2023-2024,
23,Marcos Peï¿½,es ESP,MF,18,7,4,441,4.9,0,0,0,0,0,0,3,0,0.2,0.2,0,0.2,0,10,0,0,0,0,0,0,0.04,0.01,0.04,0.04,0.04,Almeria,2023-2024,
24,Houboulang Mendes,gw GNB,DF,25,7,4,396,4.4,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,0,0,0,0,0,0,0.01,0.01,0,0.01,Almeria,2023-2024,
25,Fernando,es ESP,GK,33,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Almeria,2023-2024,
26,Arnau Puigmal,es ESP,"FW,DF",22,11,3,255,2.8,0,0,0,0,0,0,3,0,0,0,0.3,0.3,4,8,17,0,0,0,0,0,0,0.1,0.1,0,0.1,Almeria,2023-2024,
27,Marko Milovanoviï¿,rs SRB,"FW,MF",19,11,2,308,3.4,1,0,1,1,0,0,0,0,1.5,1.5,0.1,1.6,2,3,13,0.29,0,0.29,0.29,0.29,0.45,0.03,0.47,0.45,0.47,Almeria,2023-2024,
28,Lï¿½ï¿½,br BRA,"FW,MF",21,14,2,285,3.2,0,0,0,0,0,0,0,0,0.9,0.9,0.5,1.4,5,6,34,0,0,0,0,0,0.28,0.17,0.45,0.28,0.45,Almeria,2023-2024,
29,Ibrahima Konï¿,ml MLI,FW,24,9,2,277,3.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,5,3,18,0,0,0,0,0,0.14,0.03,0.17,0.14,0.17,Almeria,2023-2024,
30,Srï¿½ï¿½an Ba,rs SRB,DF,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Almeria,2023-2024,
31,Diego Mariï¿½,es ESP,GK,33,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Almeria,2023-2024,
32,Marciano Tchami,gw GNB,"FW,MF",19,6,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,1,1,3,0,0,0,0,0,0.06,0.1,0.17,0.06,0.17,Almeria,2023-2024,
33,Paco Sanz,es ESP,DF,18,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Almeria,2023-2024,
34,Rachad Fettal,ma MAR,FW,18,1,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,2,0,0,0,0,0,0.41,0.12,0.53,0.41,0.53,Almeria,2023-2024,
35,Arvin Appiah,eng ENG,"FW,MF",22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almeria,2023-2024,
36,Gui Guedes,pt POR,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almeria,2023-2024,
37,Bruno Iribarne,es ESP,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almeria,2023-2024,
38,Martin ï¿½ï¿½vider,sk SVK,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almeria,2023-2024,
39,Squad Total,,,25.6,38,418,3420,38,42,25,67,40,2,2,93,6,48.7,47.1,34.2,81.4,590,1097,1082,1.11,0.66,1.76,1.05,1.71,1.28,0.9,2.18,1.24,2.14,Almeria,2023-2024,
40,Opponent Total,,,27.1,38,418,3420,38,75,56,131,69,6,9,72,4,61.6,54.5,45.3,99.8,751,1644,1620,1.97,1.47,3.45,1.82,3.29,1.62,1.19,2.81,1.43,2.63,Almeria,2023-2024,
0,Jan Oblak,si SVN,GK,30,38,38,3420,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atletico Madrid,2023-2024,
1,Koke,es ESP,MF,31,35,32,2493,27.7,0,4,4,0,0,0,5,0,0.4,0.4,3.6,4.1,26,212,26,0,0.14,0.14,0,0.14,0.02,0.13,0.15,0.02,0.15,Atletico Madrid,2023-2024,
2,Antoine Griezmann,fr FRA,"FW,MF",32,33,31,2644,29.4,16,6,22,12,4,4,5,0,12.3,9.3,5.6,14.9,43,118,196,0.54,0.2,0.75,0.41,0.61,0.42,0.19,0.61,0.32,0.51,Atletico Madrid,2023-2024,
3,Axel Witsel,be BEL,DF,34,35,30,2783,30.9,2,0,2,2,0,0,5,0,1,1,0.3,1.3,17,89,8,0.06,0,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,Atletico Madrid,2023-2024,
4,Marcos Llorente,es ESP,"MF,DF",28,37,29,2565,28.5,6,4,10,6,0,0,5,0,4.1,4.1,5.6,9.7,71,106,179,0.21,0.14,0.35,0.21,0.35,0.14,0.2,0.34,0.14,0.34,Atletico Madrid,2023-2024,
5,Mario Hermoso,es ESP,DF,28,31,29,2557,28.4,0,1,1,0,0,0,9,0,1.4,1.4,0.8,2.2,39,177,61,0,0.04,0.04,0,0.04,0.05,0.03,0.08,0.05,0.08,Atletico Madrid,2023-2024,
6,Samuel Lino,br BRA,"DF,MF",23,34,25,2080,23.1,4,5,9,4,0,0,1,0,5.6,5.6,4.7,10.3,131,84,215,0.17,0.22,0.39,0.17,0.39,0.24,0.21,0.45,0.24,0.45,Atletico Madrid,2023-2024,
7,Rodrigo De Paul,ar ARG,MF,29,34,25,2075,23.1,3,5,8,3,0,0,7,0,1.8,1.8,5,6.8,73,202,55,0.13,0.22,0.35,0.13,0.35,0.08,0.22,0.3,0.08,0.3,Atletico Madrid,2023-2024,
8,ýýlvaro Morata,es ESP,FW,30,32,21,1904,21.2,15,3,18,15,0,1,4,1,13.8,12.9,1.7,14.6,22,20,88,0.71,0.14,0.85,0.71,0.85,0.65,0.08,0.73,0.61,0.69,Atletico Madrid,2023-2024,
9,Nahuel Molina,ar ARG,DF,25,30,19,1852,20.6,2,3,5,2,0,0,4,1,1.3,1.3,2.9,4.2,47,68,170,0.1,0.15,0.24,0.1,0.24,0.06,0.14,0.2,0.06,0.2,Atletico Madrid,2023-2024,
10,Stefan Saviï¿,me MNE,DF,32,23,19,1630,18.1,0,0,0,0,0,0,7,1,0.3,0.3,0.1,0.5,14,66,2,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Atletico Madrid,2023-2024,
11,Pablo Barrios,es ESP,MF,20,24,17,1555,17.3,0,1,1,0,0,0,5,0,0.9,0.9,1.9,2.8,37,98,56,0,0.06,0.06,0,0.06,0.05,0.11,0.16,0.05,0.16,Atletico Madrid,2023-2024,
12,Rodrigo Riquelme,es ESP,"DF,MF",23,34,17,1528,17,3,5,8,3,0,0,1,0,2.7,2.7,3.1,5.9,87,53,166,0.18,0.29,0.47,0.18,0.47,0.16,0.18,0.35,0.16,0.35,Atletico Madrid,2023-2024,
13,ýýngel Correa,ar ARG,"FW,MF",28,32,14,1528,17,9,2,11,8,1,1,3,0,7.9,7.1,3.6,10.8,40,61,128,0.53,0.12,0.65,0.47,0.59,0.47,0.21,0.68,0.42,0.63,Atletico Madrid,2023-2024,
14,Cï¿½ï¿½sar Azpilic,es ESP,DF,33,25,14,1423,15.8,0,2,2,0,0,0,4,0,0.6,0.6,2.4,3,39,77,39,0,0.13,0.13,0,0.13,0.04,0.15,0.19,0.04,0.19,Atletico Madrid,2023-2024,
15,Saï¿½ï¿½l ï¿½ï,es ESP,MF,28,34,14,1374,15.3,1,4,5,1,0,0,10,1,1.5,1.5,3.2,4.6,21,34,43,0.07,0.26,0.33,0.07,0.33,0.1,0.21,0.3,0.1,0.3,Atletico Madrid,2023-2024,
16,Josï¿½ï¿½ Marï¿½ï¿½a ,uy URU,DF,28,22,14,1326,14.7,0,0,0,0,0,0,5,0,0.4,0.4,0.1,0.5,2,26,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Atletico Madrid,2023-2024,
17,Memphis,nl NED,FW,29,23,9,893,9.9,5,1,6,5,0,0,2,0,5.8,5.8,1.8,7.6,16,27,82,0.5,0.1,0.6,0.5,0.6,0.58,0.18,0.76,0.58,0.76,Atletico Madrid,2023-2024,
18,Reinildo Mandava,mz MOZ,DF,29,16,7,731,8.1,2,1,3,2,0,0,2,0,0.9,0.9,0.6,1.5,10,36,17,0.25,0.12,0.37,0.25,0.37,0.1,0.08,0.18,0.1,0.18,Atletico Madrid,2023-2024,
19,Gabriel Paulista,br BRA,DF,32,5,5,405,4.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,1,7,0,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Atletico Madrid,2023-2024,
20,Yannick Carrasco,be BEL,DF,29,3,3,221,2.5,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,9,6,17,0,0.41,0.41,0,0.41,0.03,0.1,0.12,0.03,0.12,Atletico Madrid,2023-2024,
21,Thomas Lemar,fr FRA,MF,27,3,3,164,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,5,13,9,0,0,0,0,0,0.09,0.01,0.1,0.09,0.1,Atletico Madrid,2023-2024,
22,Arthur Vermeeren,be BEL,MF,18,5,2,162,1.8,0,0,0,0,0,0,2,0,0,0,0.1,0.1,2,7,7,0,0,0,0,0,0,0.04,0.04,0,0.04,Atletico Madrid,2023-2024,
23,ýýaýýlar Sýýyýýncýý,tr TUR,DF,27,6,1,114,1.3,0,0,0,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,Atletico Madrid,2023-2024,
24,Javi Galï¿½,es ESP,DF,28,5,0,88,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,4,13,0,0,0,0,0,0,0.06,0.06,0,0.06,Atletico Madrid,2023-2024,
25,Salim El Jebari,ma MAR,MF,19,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Atletico Madrid,2023-2024,
26,Abdellah Raihani,ma MAR,FW,19,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Atletico Madrid,2023-2024,
27,Rayane Belaid,es ESP,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid,2023-2024,
28,Joï¿½ï¿½o Fï,pt POR,"FW,MF",23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid,2023-2024,
29,Aitor Gismera,es ESP,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid,2023-2024,
30,Antonio Gomis,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid,2023-2024,
31,Ivo Grbiï¿,hr CRO,GK,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid,2023-2024,
32,Ilias Kostis,gr GRE,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid,2023-2024,
33,Sergio Mestre,es ESP,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid,2023-2024,
34,Horaï¿½ï¿½iu Mold,ro ROU,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid,2023-2024,
35,Marco Moreno,es ESP,DF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid,2023-2024,
36,Adrian Niï¿½,es ESP,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atletico Madrid,2023-2024,
37,Squad Total,,,29.2,38,418,3420,38,68,48,116,63,5,6,89,5,62.4,57.9,47.4,105.2,758,1597,1580,1.79,1.26,3.05,1.66,2.92,1.64,1.25,2.89,1.52,2.77,Atletico Madrid,2023-2024,
38,Opponent Total,,,26.9,38,418,3420,38,43,33,76,42,1,2,79,2,39.5,37.9,29.7,67.6,648,1544,1533,1.13,0.87,2,1.11,1.97,1.04,0.78,1.82,1,1.78,Atletico Madrid,2023-2024,
0,ýýlkay Gýýndoýýan,de GER,MF,32,36,33,2994,33.3,5,9,14,4,1,2,5,0,7.3,5.7,10.3,16,71,224,116,0.15,0.27,0.42,0.12,0.39,0.22,0.31,0.53,0.17,0.48,FC Barcelona,2023-2024,
1,Jules Koundï¿,fr FRA,DF,24,35,32,2899,32.2,1,2,3,1,0,0,4,0,2,2,2.2,4.2,67,245,64,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13,FC Barcelona,2023-2024,
2,Robert Lewandowski,pl POL,FW,34,35,32,2750,30.6,19,8,27,15,4,4,5,0,18.1,15,4.9,19.9,43,64,168,0.62,0.26,0.88,0.49,0.75,0.59,0.16,0.75,0.49,0.65,FC Barcelona,2023-2024,
3,Joï¿½ï¿½o Can,pt POR,DF,29,32,29,2503,27.8,2,4,6,2,0,0,7,0,1.6,1.6,6.1,7.7,106,141,193,0.07,0.14,0.22,0.07,0.22,0.06,0.22,0.28,0.06,0.28,FC Barcelona,2023-2024,
4,Marc-Andrï¿½ï¿½ ter St,de GER,GK,31,28,28,2520,28,0,0,0,0,0,0,3,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,FC Barcelona,2023-2024,
5,Andreas Christensen,dk DEN,"DF,MF",27,30,27,1979,22,2,2,4,2,0,0,4,0,1,1,1.1,2.2,24,117,6,0.09,0.09,0.18,0.09,0.18,0.05,0.05,0.1,0.05,0.1,FC Barcelona,2023-2024,
6,Lamine Yamal,es ESP,FW,16,37,22,2201,24.5,5,5,10,5,0,0,3,0,5.2,5.2,6.2,11.4,123,80,350,0.2,0.2,0.41,0.2,0.41,0.21,0.25,0.47,0.21,0.47,FC Barcelona,2023-2024,
7,Ronald Araï¿½ï,uy URU,DF,24,25,21,1997,22.2,1,2,3,1,0,0,6,0,2.1,2.1,1.4,3.5,24,101,11,0.05,0.09,0.14,0.05,0.14,0.09,0.07,0.16,0.09,0.16,FC Barcelona,2023-2024,
8,Frenkie de Jong,nl NED,MF,26,20,20,1634,18.2,2,0,2,2,0,0,7,0,0.7,0.7,2.2,2.9,69,168,38,0.11,0,0.11,0.11,0.11,0.04,0.12,0.16,0.04,0.16,FC Barcelona,2023-2024,
9,Pau Cubarsï¿,es ESP,DF,16,19,18,1558,17.3,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,8,75,2,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,FC Barcelona,2023-2024,
10,Joï¿½ï¿½o Fï,pt POR,FW,23,30,18,1540,17.1,7,3,10,7,0,0,3,0,8.7,8.7,3.1,11.9,69,68,169,0.41,0.18,0.58,0.41,0.58,0.51,0.18,0.69,0.51,0.69,FC Barcelona,2023-2024,
11,Raphinha,br BRA,"FW,MF",26,28,17,1368,15.2,6,9,15,5,1,1,4,1,7.4,6.6,5.7,12.3,49,57,164,0.39,0.59,0.99,0.33,0.92,0.48,0.37,0.86,0.43,0.81,FC Barcelona,2023-2024,
12,Pedri,es ESP,"MF,FW",20,24,16,1476,16.4,4,2,6,4,0,0,3,0,3.1,3.1,4.2,7.3,41,136,81,0.24,0.12,0.37,0.24,0.37,0.19,0.25,0.44,0.19,0.44,FC Barcelona,2023-2024,
13,Alejandro Balde,es ESP,DF,19,18,15,1378,15.3,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.4,73,41,141,0,0.07,0.07,0,0.07,0.01,0.08,0.09,0.01,0.09,FC Barcelona,2023-2024,
14,Fermin Lï¿½ï¿,es ESP,"MF,FW",20,31,14,1446,16.1,8,0,8,8,0,0,2,0,7.5,7.5,1.1,8.6,42,76,93,0.5,0,0.5,0.5,0.5,0.47,0.07,0.54,0.47,0.54,FC Barcelona,2023-2024,
15,Iï¿½ï¿½igo Martï,es ESP,DF,32,20,13,1296,14.4,0,0,0,0,0,0,5,0,0.4,0.4,0,0.4,33,97,5,0,0,0,0,0,0.03,0,0.03,0.03,0.03,FC Barcelona,2023-2024,
16,Ferrï¿½ï¿½n To,es ESP,FW,23,29,12,1211,13.5,7,2,9,7,0,0,2,0,5.5,5.5,2.7,8.2,30,44,113,0.52,0.15,0.67,0.52,0.67,0.41,0.2,0.61,0.41,0.61,FC Barcelona,2023-2024,
17,Oriol Romeu,es ESP,MF,31,28,11,936,10.4,0,1,1,0,0,0,4,0,0.7,0.7,1.3,2,12,66,4,0,0.1,0.1,0,0.1,0.07,0.12,0.19,0.07,0.19,FC Barcelona,2023-2024,
18,Gavi,es ESP,"MF,FW",18,12,10,944,10.5,1,1,2,1,0,0,5,0,0.9,0.9,1.1,2,26,39,38,0.1,0.1,0.19,0.1,0.19,0.09,0.1,0.19,0.09,0.19,FC Barcelona,2023-2024,
19,Iï¿½ï¿½aki P,es ESP,GK,24,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FC Barcelona,2023-2024,
20,Sergi Roberto,es ESP,"MF,DF",31,14,10,860,9.6,3,2,5,3,0,0,4,0,1.7,1.7,0.8,2.4,13,50,33,0.31,0.21,0.52,0.31,0.52,0.18,0.08,0.26,0.18,0.26,FC Barcelona,2023-2024,
21,Hï¿½ï¿½ctor ,es ESP,DF,16,7,4,318,3.5,0,2,2,0,0,0,0,0,0,0,0.8,0.8,3,7,38,0,0.57,0.57,0,0.57,0,0.23,0.23,0,0.23,FC Barcelona,2023-2024,
22,Marcos Alonso,es ESP,DF,32,5,3,252,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,11,14,33,0,0,0,0,0,0.03,0.18,0.21,0.03,0.21,FC Barcelona,2023-2024,
23,Vitor Roque,br BRA,FW,18,14,2,328,3.6,2,0,2,2,0,0,4,1,2.5,2.5,0,2.6,12,2,26,0.55,0,0.55,0.55,0.55,0.7,0.01,0.71,0.7,0.71,FC Barcelona,2023-2024,
24,Marc Guiu,es ESP,"FW,MF",17,3,1,74,0.8,1,0,1,1,0,0,1,0,0.8,0.8,0.3,1,1,1,8,1.22,0,1.22,1.22,1.22,0.92,0.32,1.24,0.92,1.24,FC Barcelona,2023-2024,
25,Abde Ezzalzouli,ma MAR,"FW,MF",21,2,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,1,12,0,0,0,0,0,0.28,0.09,0.37,0.28,0.37,FC Barcelona,2023-2024,
26,Eric Garcï¿½,es ESP,DF,22,2,0,57,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07,FC Barcelona,2023-2024,
27,Ansu Fati,es ESP,"MF,FW",20,3,0,50,0.6,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,6,4,5,0,0,0,0,0,1.34,0,1.34,1.34,1.34,FC Barcelona,2023-2024,
28,Marc Casado,es ESP,MF,19,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,FC Barcelona,2023-2024,
29,Ander Astralaga,es ESP,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Barcelona,2023-2024,
30,Aleix Garrido,es ESP,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Barcelona,2023-2024,
31,Unai Hernandez,es ESP,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Barcelona,2023-2024,
32,Diego Kochen,us USA,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Barcelona,2023-2024,
33,Mikayil Ngor Faye,sn SEN,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Barcelona,2023-2024,
34,Pau Prim,es ESP,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Barcelona,2023-2024,
35,Pau Victor Delgado,es ESP,FW,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Barcelona,2023-2024,
36,ýýron Yaakobishvili,hu HUN,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Barcelona,2023-2024,
37,Squad Total,,,26,38,418,3420,38,76,55,131,70,6,7,87,2,77.6,72.1,57.4,129.5,964,1925,1911,2,1.45,3.45,1.84,3.29,2.04,1.51,3.55,1.9,3.41,FC Barcelona,2023-2024,
38,Opponent Total,,,26.9,38,418,3420,38,44,35,79,42,2,2,98,8,41.6,40.1,30.9,71,487,992,982,1.16,0.92,2.08,1.11,2.03,1.1,0.81,1.91,1.05,1.87,FC Barcelona,2023-2024,
0,Rubï¿½ï¿½n Alc,es ESP,MF,32,,36,3134,34.8,3,1,4,1,2,2,14,0,3.3,1.7,1.4,3.1,27,154,37,0.09,0.03,0.11,0.03,0.06,0.09,0.04,0.13,0.05,0.09,Cadiz,2023-2024,36
1,Jeremï¿½ï¿½as Led,ar ARG,GK,30,,34,3048,33.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cadiz,2023-2024,34
2,Chris Ramos,es ESP,"FW,MF",26,,30,2612,29,5,1,6,5,0,0,5,0,10.1,10.1,1.7,11.7,31,28,102,0.17,0.03,0.21,0.17,0.21,0.35,0.06,0.4,0.35,0.4,Cadiz,2023-2024,37
3,Fali,es ESP,DF,29,,30,2547,28.3,0,0,0,0,0,0,12,0,0.8,0.8,0.1,0.9,16,82,10,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Cadiz,2023-2024,30
4,Isaac Carcelen,es ESP,DF,30,,29,2611,29,0,0,0,0,0,0,2,0,0.6,0.6,1,1.6,25,75,70,0,0,0,0,0,0.02,0.03,0.06,0.02,0.06,Cadiz,2023-2024,35
5,Javi Hernï¿½ï¿½,es ESP,DF,25,,28,2514,27.9,1,2,3,1,0,0,10,0,1.4,1.4,2.1,3.5,40,94,57,0.04,0.07,0.11,0.04,0.11,0.05,0.07,0.13,0.05,0.13,Cadiz,2023-2024,30
6,Roberto Navarro,es ESP,"MF,FW",21,,24,1888,21,1,1,2,1,0,0,0,1,2.1,2.1,3.1,5.3,81,70,119,0.05,0.05,0.1,0.05,0.1,0.1,0.15,0.25,0.1,0.25,Cadiz,2023-2024,28
7,Vï¿½ï¿½ctor C,es ESP,DF,23,,22,1864,20.7,0,1,1,0,0,0,3,2,0.3,0.3,0.3,0.6,10,80,2,0,0.05,0.05,0,0.05,0.02,0.01,0.03,0.02,0.03,Cadiz,2023-2024,22
8,Ivï¿½ï¿½n A,es ESP,MF,28,,21,1692,18.8,0,2,2,0,0,0,17,0,0.5,0.5,1.3,1.8,48,31,104,0,0.11,0.11,0,0.11,0.03,0.07,0.1,0.03,0.1,Cadiz,2023-2024,30
9,Gonzalo Escalante,ar ARG,MF,30,,18,1697,18.9,1,2,3,1,0,0,2,1,1.9,1.9,1.7,3.6,4,66,14,0.05,0.11,0.16,0.05,0.16,0.1,0.09,0.19,0.1,0.19,Cadiz,2023-2024,25
10,Rubï¿½ï¿½n Sob,es ESP,"MF,FW",31,,18,1646,18.3,0,1,1,0,0,0,8,1,1.8,1.8,2.3,4.1,27,34,78,0,0.05,0.05,0,0.05,0.1,0.12,0.22,0.1,0.22,Cadiz,2023-2024,32
11,Roger Martï¿,es ESP,FW,32,,18,1359,15.1,2,3,5,2,0,0,3,0,2.8,2.8,2.9,5.6,7,19,64,0.13,0.2,0.33,0.13,0.33,0.18,0.19,0.37,0.18,0.37,Cadiz,2023-2024,23
12,Lucas,br BRA,DF,22,,15,1539,17.1,1,0,1,1,0,0,6,0,0.8,0.8,1.9,2.7,30,47,65,0.06,0,0.06,0.06,0.06,0.05,0.11,0.16,0.05,0.16,Cadiz,2023-2024,28
13,ýýlex Fernýýndez,es ESP,MF,30,,14,1285,14.3,0,1,1,0,0,0,3,0,0.3,0.3,0.8,1,11,52,26,0,0.07,0.07,0,0.07,0.02,0.05,0.07,0.02,0.07,Cadiz,2023-2024,26
14,Maxi Gï¿½ï¿,uy URU,FW,26,,12,1163,12.9,0,0,0,0,0,0,2,0,1.6,1.6,0.6,2.2,13,11,54,0,0,0,0,0,0.12,0.04,0.17,0.12,0.17,Cadiz,2023-2024,31
15,Darwin Machï¿½,ve VEN,MF,30,,10,785,8.7,4,0,4,3,1,1,0,1,1.4,0.6,0.7,1.3,20,15,54,0.46,0,0.46,0.34,0.34,0.16,0.08,0.24,0.07,0.15,Cadiz,2023-2024,21
