Index,Player,Nation,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Team,Season,Matches Played (MP)
22,Julen Agirrezabala,es ESP,GK,22,4,2,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athletic Club,2023-2024,
23,Raï¿½ï¿½l Gar,es ESP,"FW,MF",37,20,1,420,4.7,1,0,1,1,0,0,3,0,0.9,0.9,0,0.9,4,19,15,0.21,0,0.21,0.21,0.21,0.2,0,0.2,0.2,0.2,Athletic Club,2023-2024,
24,Mikel Jauregizar,es ESP,MF,19,7,1,151,1.7,0,0,0,0,0,0,0,0,0,0,0.1,0.2,2,5,3,0,0,0,0,0,0.02,0.08,0.1,0.02,0.1,Athletic Club,2023-2024,
25,Peru Nolaskoain,es ESP,"DF,MF",24,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Athletic Club,2023-2024,
26,Aingeru Olabarrieta,es ESP,FW,17,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Athletic Club,2023-2024,
27,Unai Eguï¿½ï¿,es ESP,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic Club,2023-2024,
28,Javi Martï¿½,es ESP,FW,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic Club,2023-2024,
29,Alex Padilla,es ESP,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic Club,2023-2024,
30,Hugo Rincï¿½,es ESP,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletic Club,2023-2024,
31,Squad Total,,,27.3,38,418,3420,38,59,41,100,56,3,5,80,5,52.7,48.7,37,85.8,735,1610,1596,1.55,1.08,2.63,1.47,2.55,1.39,0.97,2.36,1.28,2.26,Athletic Club,2023-2024,
