Index,Player,Nation,Team,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Unnamed: 35,Season,Matches Played (MP).1
24,Gerónimo Rulli,ar ARG,Villarreal,GK,28.0,,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,2.0
25,Alex Baena,es ESP,Villarreal,MF,19.0,,2,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,5.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11,Matches,2020-2021,6.0
26,Dani Raba,es ESP,Villarreal,"MF,FW",24.0,,1,150.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,8.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.23,0.2,0.23,Matches,2020-2021,5.0
27,Sofian Chakla,ma MAR,Villarreal,DF,26.0,,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.39,0.39,0.39,Matches,2020-2021,1.0
28,Álex Millán,es ESP,Villarreal,FW,20.0,,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,1.0
0,Unai Simón,es ESP,AC,GK,24.0,,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,34.0
1,Iker Muniain,es ESP,AC,MF,28.0,,34,2785.0,30.9,4.0,10.0,14.0,3.0,1.0,3.0,3.0,0.0,5.8,3.4,9.5,12.8,81.0,218.0,161.0,0.13,0.32,0.45,0.1,0.42,0.19,0.31,0.49,0.11,0.41,Matches,2021-2022,35.0
2,Iñaki Williams,gh GHA,AC,FW,27.0,,32,2777.0,30.9,8.0,5.0,13.0,7.0,1.0,1.0,4.0,0.0,14.1,13.3,5.7,19.0,76.0,45.0,316.0,0.26,0.16,0.42,0.23,0.39,0.46,0.18,0.64,0.43,0.61,Matches,2021-2022,38.0
3,Unai Vencedor Paris,es ESP,AC,MF,20.0,,29,2383.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.7,1.6,16.0,180.0,20.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches,2021-2022,34.0
4,Dani García,es ESP,AC,MF,31.0,,27,2177.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,0.6,1.1,10.0,115.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,Matches,2021-2022,32.0
5,Iñigo Martínez,es ESP,AC,DF,30.0,,26,2341.0,26.0,3.0,0.0,3.0,3.0,0.0,0.0,9.0,2.0,2.0,2.0,0.5,2.5,29.0,78.0,8.0,0.12,0.0,0.12,0.12,0.12,0.08,0.02,0.09,0.08,0.09,Matches,2021-2022,27.0
6,Álex Berenguer,es ESP,AC,MF,26.0,,24,2168.0,24.1,3.0,6.0,9.0,3.0,0.0,1.0,8.0,0.0,5.2,4.5,5.4,9.9,59.0,77.0,202.0,0.12,0.25,0.37,0.12,0.37,0.22,0.23,0.44,0.19,0.41,Matches,2021-2022,34.0
7,Raúl García,es ESP,AC,FW,35.0,,24,1802.0,20.0,6.0,2.0,8.0,6.0,0.0,1.0,3.0,0.0,6.1,5.3,2.7,8.0,12.0,87.0,113.0,0.3,0.1,0.4,0.3,0.4,0.3,0.13,0.44,0.26,0.4,Matches,2021-2022,35.0
8,Mikel Balenziaga,es ESP,AC,DF,33.0,,23,2027.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,29.0,68.0,66.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Matches,2021-2022,26.0
9,Daniel Vivian,es ESP,AC,DF,22.0,,22,1986.0,22.1,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.3,1.3,0.5,1.8,3.0,56.0,2.0,0.09,0.05,0.14,0.09,0.14,0.06,0.02,0.08,0.06,0.08,Matches,2021-2022,24.0
10,Iñigo Lekue,es ESP,AC,DF,28.0,,22,1925.0,21.4,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,2.3,2.5,52.0,84.0,72.0,0.0,0.09,0.09,0.0,0.09,0.01,0.11,0.11,0.01,0.11,Matches,2021-2022,25.0
11,Yeray Álvarez,es ESP,AC,DF,26.0,,21,1860.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,0.1,0.6,16.0,64.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2021-2022,22.0
12,Óscar de Marcos,es ESP,AC,DF,32.0,,19,1679.0,18.7,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,2.1,2.4,42.0,92.0,91.0,0.05,0.11,0.16,0.05,0.16,0.01,0.12,0.13,0.01,0.13,Matches,2021-2022,22.0
13,Mikel Vesga,es ESP,AC,MF,28.0,,17,1358.0,15.1,2.0,0.0,2.0,2.0,0.0,0.0,7.0,2.0,1.0,1.0,0.9,1.9,16.0,95.0,15.0,0.13,0.0,0.13,0.13,0.13,0.07,0.06,0.13,0.07,0.13,Matches,2021-2022,32.0
14,Oihan Sancet,es ESP,AC,FW,21.0,,16,1422.0,15.8,6.0,4.0,10.0,6.0,0.0,0.0,2.0,0.0,3.4,3.4,2.9,6.3,28.0,76.0,152.0,0.38,0.25,0.63,0.38,0.63,0.21,0.19,0.4,0.21,0.4,Matches,2021-2022,27.0
15,Nico Williams,es ESP,AC,MF,19.0,,11,1337.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.6,2.6,1.5,4.1,82.0,27.0,147.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,0.27,0.17,0.27,Matches,2021-2022,34.0
16,Yuri Berchiche,es ESP,AC,DF,31.0,,11,1015.0,11.3,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,1.2,1.5,33.0,64.0,46.0,0.09,0.18,0.27,0.09,0.27,0.03,0.1,0.14,0.03,0.14,Matches,2021-2022,14.0
17,Oier Zarraga,es ESP,AC,MF,22.0,,8,1166.0,13.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,1.3,0.5,0.2,0.7,24.0,74.0,37.0,0.08,0.0,0.08,0.0,0.0,0.1,0.01,0.12,0.04,0.05,Matches,2021-2022,31.0
18,Unai Núñez,es ESP,AC,DF,24.0,,7,622.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.2,1.0,8.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.15,0.12,0.15,Matches,2021-2022,9.0
19,Julen Agirrezabala,es ESP,AC,GK,20.0,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,4.0
20,Asier Villalibre,es ESP,AC,FW,23.0,,3,548.0,6.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.4,2.4,0.1,2.5,12.0,3.0,49.0,0.33,0.0,0.33,0.33,0.33,0.4,0.02,0.41,0.4,0.41,Matches,2021-2022,19.0
21,Nicolás Serrano,es ESP,AC,"MF,FW",18.0,,3,317.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,13.0,7.0,26.0,0.28,0.0,0.28,0.28,0.28,0.12,0.02,0.14,0.12,0.14,Matches,2021-2022,14.0
22,Alex Petxa,es ESP,AC,"DF,MF",24.0,,1,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.3,0.4,8.0,25.0,14.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches,2021-2022,17.0
23,Jon Morcillo,es ESP,AC,"MF,FW",22.0,,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.0,0.6,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.99,0.99,0.99,Matches,2021-2022,7.0
24,Ander Capa,es ESP,AC,DF,29.0,,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.51,0.51,0.51,Matches,2021-2022,1.0
25,Peru Nolaskoain,es ESP,AC,DF,22.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
0,Luis Rioja,es ESP,Alaves,"MF,FW",27.0,,36,3111.0,34.6,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,5.1,8.2,122.0,77.0,213.0,0.03,0.09,0.12,0.03,0.12,0.09,0.15,0.24,0.09,0.24,Matches,2021-2022,37.0
1,Joselu,es ESP,Alaves,FW,31.0,,35,3122.0,34.7,14.0,4.0,18.0,8.0,6.0,7.0,0.0,0.0,12.9,7.4,4.5,11.9,27.0,108.0,137.0,0.4,0.12,0.52,0.23,0.35,0.37,0.13,0.5,0.21,0.34,Matches,2021-2022,37.0
2,Fernando Pacheco,es ESP,Alaves,GK,29.0,,34,3053.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2021-2022,34.0
3,Víctor Laguardia,es ESP,Alaves,DF,31.0,,34,3042.0,33.8,3.0,2.0,5.0,3.0,0.0,0.0,9.0,0.0,2.0,2.0,0.9,2.9,2.0,72.0,3.0,0.09,0.06,0.15,0.09,0.15,0.06,0.03,0.09,0.06,0.09,Matches,2021-2022,34.0
4,Rubén Duarte,es ESP,Alaves,DF,25.0,,31,2621.0,29.1,0.0,4.0,4.0,0.0,0.0,0.0,12.0,1.0,0.4,0.4,2.5,2.8,35.0,85.0,46.0,0.0,0.14,0.14,0.0,0.14,0.01,0.09,0.1,0.01,0.1,Matches,2021-2022,34.0
5,Florian Lejeune,fr FRA,Alaves,DF,30.0,,30,2699.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.5,1.5,0.2,1.7,6.0,74.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,2021-2022,30.0
6,Mamadou Loum,sn SEN,Alaves,MF,24.0,,26,2312.0,25.7,2.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,2.9,2.9,0.6,3.4,13.0,72.0,14.0,0.08,0.0,0.08,0.08,0.08,0.11,0.02,0.13,0.11,0.13,Matches,2021-2022,32.0
7,Martin Agirregabiria,es ESP,Alaves,DF,25.0,,17,1616.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.7,0.8,15.0,57.0,40.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,Matches,2021-2022,24.0
8,Édgar Méndez,es ESP,Alaves,"FW,MF",31.0,,17,1614.0,17.9,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.5,1.5,2.5,4.0,18.0,31.0,112.0,0.06,0.06,0.11,0.06,0.11,0.08,0.14,0.22,0.08,0.22,Matches,2021-2022,32.0
9,Toni Moya,es ESP,Alaves,MF,23.0,,17,1386.0,15.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,1.8,3.1,19.0,43.0,17.0,0.0,0.06,0.06,0.0,0.06,0.08,0.12,0.2,0.08,0.2,Matches,2021-2022,28.0
10,Pere Pons,es ESP,Alaves,MF,28.0,,17,1366.0,15.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,0.6,2.1,20.0,37.0,50.0,0.07,0.0,0.07,0.07,0.07,0.1,0.04,0.14,0.1,0.14,Matches,2021-2022,27.0
11,Tomás Pina Isla,es ESP,Alaves,MF,33.0,,16,1444.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.3,0.7,4.0,50.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,2021-2022,29.0
12,Ximo Navarro,es ESP,Alaves,DF,31.0,,16,1347.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.6,0.6,0.4,1.0,21.0,35.0,24.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches,2021-2022,18.0
13,Gonzalo Escalante,ar ARG,Alaves,MF,28.0,,15,1300.0,14.4,5.0,0.0,5.0,5.0,0.0,0.0,8.0,1.0,3.2,3.2,0.2,3.4,7.0,41.0,15.0,0.35,0.0,0.35,0.35,0.35,0.22,0.01,0.23,0.22,0.23,Matches,2021-2022,17.0
14,Nahuel Tenaglia,ar ARG,Alaves,DF,25.0,,12,1073.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.4,17.0,42.0,15.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2021-2022,14.0
15,Manu García,es ESP,Alaves,MF,23.0,,10,1077.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.1,1.4,23.0,79.0,30.0,0.0,0.08,0.08,0.0,0.08,0.03,0.09,0.12,0.03,0.12,Matches,2021-2022,24.0
16,Miguel,es ESP,Alaves,"FW,MF",21.0,,10,829.0,9.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.9,1.9,0.3,2.2,17.0,6.0,62.0,0.11,0.11,0.22,0.11,0.22,0.21,0.03,0.24,0.21,0.24,Matches,2021-2022,22.0
17,Jason,es ESP,Alaves,"MF,FW",27.0,,10,678.0,7.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,1.7,2.6,11.0,10.0,31.0,0.0,0.13,0.13,0.0,0.13,0.13,0.22,0.35,0.13,0.35,Matches,2021-2022,14.0
18,Matt Miazga,us USA,Alaves,DF,26.0,,9,833.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.6,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,2021-2022,11.0
19,Facundo Pellistri,uy URU,Alaves,"MF,FW",19.0,,6,672.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,24.0,11.0,42.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.13,0.07,0.13,Matches,2021-2022,21.0
20,Javi López,es ESP,Alaves,DF,19.0,,4,462.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4,6.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,2021-2022,9.0
21,Mamadou Sylla,sn SEN,Alaves,"FW,MF",27.0,,4,394.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,5.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.12,0.1,0.12,Matches,2021-2022,13.0
22,Antonio Sivera,es ESP,Alaves,GK,24.0,,3,277.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,4.0
23,Manu Vallejo,es ESP,Alaves,"MF,FW",24.0,,2,370.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,1.0,5.0,8.0,25.0,0.24,0.24,0.49,0.24,0.49,0.16,0.08,0.24,0.16,0.24,Matches,2021-2022,11.0
24,John Guidetti,se SWE,Alaves,"FW,MF",29.0,,2,279.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,1.1,1.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.31,0.06,0.37,0.31,0.37,Matches,2021-2022,10.0
25,Tachi,es ESP,Alaves,DF,23.0,,2,239.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2021-2022,5.0
26,Iván Martín,es ESP,Alaves,"MF,FW",22.0,,2,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2021-2022,6.0
27,Jesús Owono,gq EQG,Alaves,GK,20.0,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
28,Marc Tenas,es ESP,Alaves,"FW,MF",20.0,,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,Matches,2021-2022,3.0
29,Mircea Ţîrlea,ro ROU,Alaves,DF,21.0,,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
30,Unai Ropero,es ESP,Alaves,MF,19.0,,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
31,Tomás Mendes,es ESP,Alaves,MF,16.0,,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
32,Saúl García,es ESP,Alaves,MF,26.0,,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,1.0
0,Fernando,es ESP,Almeria,GK,32.0,,37,3285.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,37.0
1,Rodrigo Ely,br BRA,Almeria,DF,28.0,,36,3155.0,35.1,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,0.8,1.8,6.0,52.0,4.0,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05,Matches,2021-2022,36.0
2,Lucas Robertone,ar ARG,Almeria,MF,25.0,,34,2843.0,31.6,2.0,7.0,9.0,2.0,0.0,0.0,7.0,0.0,2.6,2.6,6.6,9.2,47.0,155.0,97.0,0.06,0.22,0.28,0.06,0.28,0.08,0.21,0.29,0.08,0.29,Matches,2021-2022,37.0
3,Srđan Babić,rs SRB,Almeria,DF,26.0,,33,2998.0,33.3,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,1.2,1.2,0.3,1.5,21.0,63.0,5.0,0.09,0.0,0.09,0.09,0.09,0.04,0.01,0.04,0.04,0.04,Matches,2021-2022,34.0
4,Sergio Akieme,es ESP,Almeria,DF,24.0,,27,2297.0,25.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.5,1.5,2.0,3.5,60.0,58.0,84.0,0.04,0.0,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14,Matches,2021-2022,29.0
5,Gonzalo Melero,es ESP,Almeria,MF,28.0,,24,1855.0,20.6,4.0,3.0,7.0,3.0,1.0,1.0,5.0,0.0,3.0,2.3,1.8,4.0,31.0,97.0,37.0,0.19,0.15,0.34,0.15,0.29,0.15,0.08,0.23,0.11,0.19,Matches,2021-2022,27.0
6,Léo Baptistão,br BRA,Almeria,"FW,MF",29.0,,24,1726.0,19.2,5.0,1.0,6.0,5.0,0.0,0.0,7.0,0.0,4.9,4.9,1.2,6.2,38.0,51.0,83.0,0.26,0.05,0.31,0.26,0.31,0.26,0.06,0.32,0.26,0.32,Matches,2021-2022,28.0
7,Samu Costa,pt POR,Almeria,MF,21.0,,22,1989.0,22.1,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.7,1.7,1.0,2.7,9.0,91.0,24.0,0.05,0.09,0.14,0.05,0.14,0.08,0.04,0.12,0.08,0.12,Matches,2021-2022,32.0
8,Alejandro Pozo Pozo,es ESP,Almeria,DF,23.0,,20,1880.0,20.9,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,3.6,4.2,44.0,64.0,90.0,0.0,0.14,0.14,0.0,0.14,0.03,0.17,0.2,0.03,0.2,Matches,2021-2022,30.0
9,César de la Hoz,es ESP,Almeria,MF,30.0,,18,1673.0,18.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.4,0.4,0.9,1.3,3.0,49.0,6.0,0.05,0.0,0.05,0.05,0.05,0.02,0.05,0.07,0.02,0.07,Matches,2021-2022,25.0
10,Luis Javier Suárez,co COL,Almeria,FW,24.0,,18,1490.0,16.6,4.0,4.0,8.0,4.0,0.0,0.0,4.0,1.0,4.4,4.4,2.1,6.5,29.0,26.0,87.0,0.24,0.24,0.48,0.24,0.48,0.26,0.13,0.39,0.26,0.39,Matches,2021-2022,21.0
11,Adri Embarba,es ESP,Almeria,"FW,MF",30.0,,18,1472.0,16.4,4.0,3.0,7.0,3.0,1.0,1.0,5.0,1.0,3.8,3.1,3.4,6.4,62.0,47.0,115.0,0.24,0.18,0.43,0.18,0.37,0.23,0.21,0.44,0.19,0.39,Matches,2021-2022,29.0
12,Chumi,es ESP,Almeria,DF,23.0,,15,1489.0,16.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.4,0.4,0.1,0.5,13.0,32.0,10.0,0.06,0.0,0.06,0.06,0.06,0.02,0.0,0.03,0.02,0.03,Matches,2021-2022,21.0
13,El Bilal Touré,ml MLI,Almeria,FW,20.0,,15,1264.0,14.0,7.0,2.0,9.0,7.0,0.0,0.0,0.0,0.0,6.3,6.3,1.3,7.6,18.0,14.0,51.0,0.5,0.14,0.64,0.5,0.64,0.45,0.09,0.54,0.45,0.54,Matches,2021-2022,21.0
14,Largie Ramazani,be BEL,Almeria,"FW,MF",21.0,,13,1403.0,15.6,3.0,1.0,4.0,3.0,0.0,1.0,6.0,0.0,4.2,3.4,1.7,5.1,59.0,30.0,94.0,0.19,0.06,0.26,0.19,0.26,0.27,0.11,0.38,0.22,0.33,Matches,2021-2022,33.0
15,Álex Centelles,es ESP,Almeria,DF,24.0,,11,1123.0,12.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.4,0.4,1.3,1.7,17.0,35.0,48.0,0.08,0.16,0.24,0.08,0.24,0.03,0.11,0.14,0.03,0.14,Matches,2021-2022,15.0
16,Houboulang Mendes,gw GNB,Almeria,DF,24.0,,11,886.0,9.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,18.0,18.0,30.0,0.0,0.1,0.1,0.0,0.1,0.0,0.03,0.03,0.0,0.03,Matches,2021-2022,14.0
17,Íñigo Eguaras,es ESP,Almeria,MF,30.0,,10,967.0,10.7,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,0.6,1.7,8.0,61.0,7.0,0.09,0.09,0.19,0.09,0.19,0.1,0.06,0.16,0.1,0.16,Matches,2021-2022,25.0
18,Arnau Puigmal,es ESP,Almeria,"MF,FW",21.0,,7,763.0,8.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,0.5,1.7,24.0,16.0,57.0,0.12,0.0,0.12,0.12,0.12,0.13,0.06,0.19,0.13,0.19,Matches,2021-2022,22.0
19,Lázaro,br BRA,Almeria,"FW,MF",20.0,,7,716.0,8.0,6.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,4.0,4.0,0.8,4.8,23.0,26.0,59.0,0.75,0.0,0.75,0.75,0.75,0.5,0.1,0.6,0.5,0.6,Matches,2021-2022,19.0
20,Kaiky,br BRA,Almeria,DF,18.0,,7,581.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.0,0.1,7.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2021-2022,13.0
21,Francisco Portillo,es ESP,Almeria,"MF,FW",32.0,,4,722.0,8.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.7,0.7,1.0,1.7,16.0,74.0,37.0,0.25,0.12,0.37,0.25,0.37,0.09,0.13,0.21,0.09,0.21,Matches,2021-2022,27.0
22,Dyego Sousa,pt POR,Almeria,FW,32.0,,3,527.0,5.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,1.0,2.2,10.0,16.0,39.0,0.0,0.17,0.17,0.0,0.17,0.2,0.17,0.37,0.2,0.37,Matches,2021-2022,20.0
